Organization Name,Category,Description,GSoC Page,Interested,Notes
Kubeflow,,The Machine Learning Toolkit for Kubernetes (AI),https://summerofcode.withgoogle.com/programs/2025/organizations/kubeflow,No,
Keploy,,"Unit, API test generation agent using AI & EBPF",https://summerofcode.withgoogle.com/programs/2025/organizations/keploy,No,
Learning Equality,,Building equity in education to transform lives,https://summerofcode.withgoogle.com/programs/2025/organizations/learning-equality,No,
Kiwix,,Internet content available offline.,https://summerofcode.withgoogle.com/programs/2025/organizations/kiwix,No,
Machine Learning for Science (ML4SCI),,Machine learning applications in science,https://summerofcode.withgoogle.com/programs/2025/organizations/machine-learning-for-science-ml4sci,No,
MariaDB,,The fastest growing Open Source Database,https://summerofcode.withgoogle.com/programs/2025/organizations/mariadb,No,
MetaBrainz Foundation Inc,,"Open music / book metadata, music recommendations",https://summerofcode.withgoogle.com/programs/2025/organizations/metabrainz-foundation-inc,No,
Liquid Galaxy project,,We code immersive and interactive apps with GEarth,https://summerofcode.withgoogle.com/programs/2025/organizations/liquid-galaxy-project,No,
Meshery,,"the extensible, collaborative, Kubernetes manager",https://summerofcode.withgoogle.com/programs/2025/organizations/meshery,No,
libssh,,The SSH library,https://summerofcode.withgoogle.com/programs/2025/organizations/libssh,No,
LLVM Compiler Infrastructure,,LLVM Compiler Infrastructure,https://summerofcode.withgoogle.com/programs/2025/organizations/llvm-compiler-infrastructure,No,
MBDyn,,Open Source Multibody Simulation,https://summerofcode.withgoogle.com/programs/2025/organizations/mbdyn,No,
Micro Electronics Research Lab - UITU,,Accelerating Engineering Innovation,https://summerofcode.withgoogle.com/programs/2025/organizations/micro-electronics-research-lab-uitu,No,
MDAnalysis,,Analysis of molecular simulations data with Python,https://summerofcode.withgoogle.com/programs/2025/organizations/mdanalysis,No,
Neuroinformatics Unit,,Open-source tools for neuroscience and ML,https://summerofcode.withgoogle.com/programs/2025/organizations/neuroinformatics-unit,No,
Open HealthCare Network,,Reimagining Healthcare Delivery,https://summerofcode.withgoogle.com/programs/2025/organizations/open-healthcare-network,No,
National Resource for Network Biology (NRNB),,Developing open source tools for network biology,https://summerofcode.withgoogle.com/programs/2025/organizations/national-resource-for-network-biology-nrnb,No,
Mixxx,,DJ Mixing App With Powerful Features For All DJs,https://summerofcode.withgoogle.com/programs/2025/organizations/mixxx,No,
Open Climate Fix,,Using Computers to Fix Climate Change,https://summerofcode.withgoogle.com/programs/2025/organizations/open-climate-fix,No,
Neovim,,hyperextensible Vim-based text editor,https://summerofcode.withgoogle.com/programs/2025/organizations/neovim,No,
MIT App Inventor,,Anyone can build apps with global impact,https://summerofcode.withgoogle.com/programs/2025/organizations/mit-app-inventor,No,
Open Food Facts,,Better food choices for your health & the planet,https://summerofcode.withgoogle.com/programs/2025/organizations/open-food-facts,No,
NumFOCUS,,NumFOCUS promotes open source scientific software.,https://summerofcode.withgoogle.com/programs/2025/organizations/numfocus,No,
omegaUp,,Open CS Education as a catalyst for social change,https://summerofcode.withgoogle.com/programs/2025/organizations/omegaup,No,
Open Science Initiative for Perfusion Imaging,,Open access resources for perfusion imaging,https://summerofcode.withgoogle.com/programs/2025/organizations/open-science-initiative-for-perfusion-imaging,No,
Open Transit Software Foundation,,Help make public transit better,https://summerofcode.withgoogle.com/programs/2025/organizations/open-transit-software-foundation,No,
OpenAstronomy,,Look at the Universe with the power of Open Source,https://summerofcode.withgoogle.com/programs/2025/organizations/openastronomy,No,
OpenELIS Global,,Empowering  labs to Ensure Quality Health Care,https://summerofcode.withgoogle.com/programs/2025/organizations/openelis-global,No,
Open Robotics,,Open source robotics and a whole lot more!,https://summerofcode.withgoogle.com/programs/2025/organizations/open-robotics,No,
Open Science Labs,,The community open to science and technology.,https://summerofcode.withgoogle.com/programs/2025/organizations/open-science-labs,No,
OpenMRS,,"Write Code, Save Lives.",https://summerofcode.withgoogle.com/programs/2025/organizations/openmrs,No,
OpenAFS,,An opensource distributed filesystem product.,https://summerofcode.withgoogle.com/programs/2025/organizations/openafs,No,
